id	name	team	position	country	league_key	league
1929091	William Fernando	Cruzeiro	Defender	Brazil	brasileirao	Serie A
213471	Aitor Fernández	Osasuna	GK	Spain	la_liga	LaLiga
1682313	Dro Fernández	Paris Saint-Germain	CM,CAM	Spain	ligue_1	Ligue 1
1137705	Enzo Fernández	Chelsea	CDM,CAM,CM,LW	Argentina	premier_league	Premier League
1199959	Ezequiél Fernández	Bayer Leverkusen	CDM,CM	Argentina	bundesliga	Bundesliga
1675505	Manu Fernández	Celta Vigo	CB	Spain	la_liga	LaLiga
1302813	Martín Fernández	Gil Vicente	LW,CAM,LM,CM	Uruguay	liga_portugal	Liga Portugal
1132607	Peque Fernández	Sevilla	CAM,CM,ST,RM	Spain	la_liga	LaLiga
1762938	Rafa Fernández	Osasuna	Keeper	Spain	la_liga	LaLiga
96618	Raul Fernández	Deportivo Alaves	GK	Spain	la_liga	LaLiga
1252373	Roberto Fernández	Espanyol	ST	Spain	la_liga	LaLiga
1460063	Thiago Fernández	Real Oviedo	LW	Argentina	la_liga	LaLiga
1665438	Toni Fernández	Barcelona	ST	Spain	la_liga	LaLiga
1784981	Mathias Ferrante	Napoli	Keeper	Italy	serie_a	Serie A
847910	Nahuel Ferraresi	Botafogo RJ	CB,RB	Venezuela	brasileirao	Serie A
540415	André Ferreira	Moreirense	GK	Portugal	liga_portugal	Liga Portugal
1098104	Ferreira	Sao Paulo	ST,LW,LM	Brazil	brasileirao	Serie A
1950885	Matheus Ferreira	Sao Paulo	Midfielder	Brazil	brasileirao	Serie A
1356884	Nicolás Ferreira	Remo	ST,LW,RW,CAM	Uruguay	brasileirao	Serie A
1800650	Pedro Ferreira	Sao Paulo	Midfielder	Brazil	brasileirao	Serie A
824642	Pedro Ferreira	Santa Clara	CM,CDM,RM	Portugal	liga_portugal	Liga Portugal
722778	Ferro	Estoril	CB	Portugal	liga_portugal	Liga Portugal
895954	Álvaro Fidalgo	Real Betis	CM,CDM,CAM	Mexico	la_liga	LaLiga
1559692	Júlio Fidelis	Fluminense	RB	Brazil	brasileirao	Serie A
813225	Daniel Figueira	Gil Vicente	GK	Portugal	liga_portugal	Liga Portugal
1681893	Figueiredo	Palmeiras	Midfielder	Brazil	brasileirao	Serie A
1130711	Lucas Figueiredo	Alverca	RW,LW,ST,CAM	Brazil	liga_portugal	Liga Portugal
1959876	Filipe	Red Bull Bragantino	Attacker	Brazil	brasileirao	Serie A
1529161	Max Finkgräfe	RB Leipzig	LB	Germany	bundesliga	Bundesliga
1130872	Fintelman	Vitoria	Keeper	Brazil	brasileirao	Serie A
743192	Junior Firpo	Real Betis	LB	Dominican Republic	la_liga	LaLiga
1075429	Jonathan Fischer	Metz	GK	Denmark	ligue_1	Ligue 1
1187389	Kilian Fischer	Wolfsburg	RB,CB	Germany	bundesliga	Bundesliga
330643	Mark Flekken	Bayer Leverkusen	GK	Netherlands	bundesliga	Bundesliga
873559	Zian Flemming	Burnley	ST	Netherlands	premier_league	Premier League
